 2003  	 Jan  	 Feb  	 Mar  	 Apr  	 May  	 Jun  	 Jul  	 Aug  	 Sep  	 Oct  	 Nov  	 Dec
1 	14.6 	41.9 	2.79 	17.7 	6.75  	5.09 	2.12 	1.28 	1.11 	1.60 	4.49 	18.6
2 	136 	25.1 	2.70 	15.3 	7.25  	5.06 	1.80 	1.24 	1.07 	1.50 	3.99 	16.9
3 	151 	17.5 	2.69 	13.1 	7.75  	4.62 	1.50 	1.23 	1.07 	1.39 	3.62 	24.0
4 	133 	13.5 	2.59 	11.3 	7.25  	4.43 	1.31 	1.21 	1.12 	1.26 	3.33 	17.9
5 	78.2 	11.0 	2.56 	10.0 	6.70  	4.89 	1.19 	1.18 	1.11 	1.20 	2.98 	44.9
6 	38.7 	9.03 	2.53 	9.10 	6.05  	5.67 	1.11 	1.20 	1.26 	1.49 	2.73 	78.4
7 	25.3 	7.58 	2.45 	23.2 	5.53  	6.00 	1.05 	1.15 	1.55 	2.71 	2.58 	48.0
8 	19.9 	6.50 	2.40 	116 	5.23 	5.57 	1.14 	1.17 	1.42 	4.36 	2.43 	28.4
9 	16.2 	5.71 	2.52 	80.1 	4.80 	4.90 	1.17 	1.29 	1.39 	7.07 	2.37 	20.0
10 	13.3 	5.12 	3.95 	36.4 	4.67 	4.57 	1.13 	1.32 	1.46 	4.26 	2.26 	16.2
11 	11.3 	4.66 	5.89 	25.3 	4.96 	4.12 	1.10 	1.38 	1.50 	3.32 	2.15 	13.8
12 	13.5 	4.29 	31.9 	21.4 	5.60 	3.85 	1.12 	1.57 	1.52 	45.1 	2.09 	14.0
13 	11.9 	3.94 	256 	18.0 	5.95  	4.01 	1.27 	1.45 	1.67 	19.7 	2.03 	14.1
14 	15.5 	3.57 	173 	16.8 	5.99 	4.03 	2.20 	1.35 	1.76 	10.0 	1.95 	19.8
15 	12.8 	3.75 	104 	14.5 	6.20 	3.89 	2.64 	1.27 	1.70 	7.07 	2.37 	19.6
16 	10.7 	4.77 	66.2 	12.8 	5.18 	3.40 	2.12 	1.20 	1.69 	76.9 	5.54 	79.5
17 	9.23 	4.42 	36.8 	11.2 	4.47 	3.13 	1.62 	1.17 	1.66 	164 	11.0 	61.1
18 	8.51 	3.99 	25.0 	9.83 	4.07 	3.28 	1.31 	1.14 	1.78 	210 	34.1 	30.6
19 	8.30 	3.89 	23.9 	8.80 	3.78 	3.15 	1.16 	1.23 	2.06 	115 	31.1 	20.9
20 	8.27 	4.19 	34.3 	8.39 	3.64 	2.78 	1.06 	1.21 	2.06 	100 	20.2 	22.7
21 	8.28 	4.81 	29.6 	8.40 	3.74 	2.50 	1.02 	1.19 	1.92 	63.9 	15.2 	22.9
22 	19.8 	4.44 	106 	8.31 	4.60 	2.36 	1.14 	1.20 	1.82 	34.0 	12.2 	18.4
23 	101 	4.06 	55.1 	8.04 	6.98 	2.15 	1.08 	1.19 	1.73 	28.1 	10.6 	16.7
24 	67.7 	3.71 	30.3 	8.44 	10.5 	1.97 	1.06 	1.20 	1.76 	18.6 	11.8 	34.0
25 	42.1 	3.41 	21.0 	8.42 	10.6 	1.83 	1.08 	1.20 	1.74 	14.3 	11.0 	32.1
26 	131 	3.27 	17.7 	7.57 	7.01 	1.93 	1.17 	1.18 	1.68 	11.5 	9.92 	21.2
27 	64.0 	3.04 	15.0 	7.04 	5.65 	2.26 	1.19 	1.14 	1.72 	9.58 	8.60 	17.3
28 	32.5 	2.91 	13.0 	6.54 	6.05 	2.16 	1.14 	1.11 	1.65 	8.01 	65.2 	14.7
29 	21.9 	-99	11.4 	6.36 	6.29 	2.09 	1.11 	1.10 	1.57 	6.82 	55.9 	12.6
30 	20.4 	-99	18.7 	6.48  	5.55 	2.32 	1.08 	1.12 	1.62 	5.80 	27.1 	11.0
31 	53.0 	-99	25.9 	-99	5.24 	-99	1.21 	1.13 	-99	5.05 	-99	9.86
