 2001  	 Jan  	 Feb  	 Mar  	 Apr  	 May  	 Jun  	 Jul  	 Aug  	 Sep  	 Oct  	 Nov  	 Dec
1 	12.5 	7.19 	2.58 	12.0 	17.2 	5.92 	2.22 	1.50 	1.95 	2.03 	9.37 	22.2
2 	12.2 	15.7 	3.26 	10.6 	13.1 	5.43 	2.06 	2.02 	2.07 	1.80 	11.0 	28.3
3 	13.7 	20.4 	3.21 	9.14 	10.7 	5.89 	2.00 	2.71 	1.91 	1.67 	7.83 	16.4
4 	24.4 	15.2 	3.00 	7.84 	9.52 	4.79 	2.09 	2.81 	1.86 	1.73 	8.52 	11.5
5 	117 	14.9 	2.73 	7.19 	10.3 	4.15 	2.07 	2.63 	1.73 	1.57 	9.06 	8.90
6 	47.2 	12.3 	2.65 	7.03 	8.56 	4.71 	1.85 	3.56 	1.62 	1.48 	7.30 	7.93
7 	25.0 	10.2 	2.70 	6.59 	7.42 	4.42 	1.76 	3.11 	1.53 	1.72 	6.20 	7.11
8 	19.9 	8.94 	3.80 	6.14 	6.98 	4.02 	1.60 	2.23 	1.67 	1.85  	5.50 	10.1 
9 	17.8 	7.78 	5.06 	5.69 	6.69 	4.10 	1.52 	1.82 	1.66 	1.94  	4.86 	22.5 
10 	18.1 	6.90 	4.86 	5.38 	6.24 	3.98 	1.49 	1.60 	1.44 	2.03  	4.50 	14.3 
11 	15.4 	6.24 	4.48 	5.07 	6.04 	3.73 	1.54 	1.59 	1.50 	1.76  	4.20 	11.5
12 	12.8 	5.51 	4.10 	4.78 	6.65 	3.40 	1.43 	1.49 	1.49 	1.70 	12.7 	9.30
13 	10.9 	4.96 	4.67 	5.06 	7.55 	3.09 	1.32 	1.50 	1.71 	2.37 	32.1 	11.5
14 	9.40 	4.61 	5.40 	4.92 	8.88 	3.02 	1.28 	1.53 	1.76 	2.43 	45.5 	16.3
15 	8.21 	4.26 	5.10 	4.54 	10.1 	2.96 	1.30 	1.47 	1.68 	2.44 	120 	21.8
16 	7.20 	3.98 	5.42 	4.29 	10.1 	2.94 	1.33 	1.44 	1.66 	1.90 	47.5 	174
17 	6.51 	3.71 	5.01 	8.00 	8.03 	3.08 	1.34 	1.42 	1.93 	1.78 	21.2 	116
18 	6.08 	3.83 	25.0 	13.0 	6.69 	2.83 	1.28 	1.39 	1.69 	1.74 	12.8 	56.5
19 	8.24 	3.79 	50.2 	11.2 	6.17 	2.64 	1.26 	1.40 	1.62 	1.79 	31.8 	39.1
20 	8.57 	3.51 	28.6 	9.45 	5.95 	2.68 	1.26 	1.43 	1.67 	1.66 	121 	23.0
21 	11.9 	3.29 	19.2 	8.25 	5.77 	2.77 	1.27 	1.47 	1.66 	1.58 	110 	15.3
22 	12.8 	3.21 	14.5 	7.90 	7.72 	2.88 	1.18 	4.21 	1.68 	2.15 	56.3 	11.9
23 	11.2 	3.24 	11.6 	9.15 	9.21 	2.53 	1.15 	5.00 	1.64 	6.64 	29.7 	9.70
24 	9.83 	3.18 	9.96 	15.4 	8.66 	2.39 	1.12 	7.96 	1.62 	4.54 	18.0 	8.23
25 	8.93 	3.05 	17.3 	20.9 	7.46 	2.52 	1.23 	5.30 	1.66 	3.49 	12.6 	7.29
26 	7.83 	2.80 	19.2 	16.7 	6.81 	2.33 	1.23 	3.65 	1.77 	9.52 	9.55 	6.55
27 	7.00 	2.66 	15.1 	14.9 	6.10 	2.59 	1.28 	2.82 	1.71 	10.8 	7.62 	6.08
28 	6.42 	2.57 	13.6 	12.9 	6.19 	4.05 	1.95 	2.72 	1.69 	6.72 	7.45 	6.14
29 	7.61 	-99	12.3 	11.3 	5.61 	3.05 	1.63 	2.24 	1.99 	4.94 	8.07 	6.42
30 	7.28 	-99	11.8 	15.4 	4.44 	2.50 	1.57 	2.03 	2.17 	4.09 	7.83 	6.41
31 	7.19 	-99	11.6 	-99	4.45 	-99	1.50 	1.86 	-99	9.52 	-99	6.56
