1108447 990 02 02 080 000096   000096   000096   000096   000097   000093   000094   000093   000094   000088   000081   000080   000081   000086   000091   000092   000091   000093   000087   000078   000083   000086   000081   000078  
1108447 990 02 03 080 000080   000085   000083   000090   000091   000093   000093   000090   000089   000092   000088   000088   000082   000079   000073   000075   000083   000070   000079   000093   000095   000097   000094   000095  
1108447 990 02 04 080 000093   000095   000097   000096   000098   000096   000098   000098   000099   000095   000097   000092   000090   000086   000080   000082   000076   000076   000080   000083   000084   000078   000078   000081  
1108447 990 02 05 080 000080   000078   000086   000089   000084   000083   000082   000083   000078   000080   000082   000080   000082   000077   000080   000083   000082   000078   000079   000081   000080   000079   000081   000081  
1108447 990 02 06 080 000076   000080   000078   000082   000086   000074   000070   000072   000071   000074   000071   000075   000076   000095   000096   000095   000095   000096   000097   000096   000097   000095   000094   000090  
1108447 990 02 07 080 000092   000082   000086   000085   000090   000084   000084   000083   000080   000083   000082   000087   000086   000087   000087   000088   000079   000076   000073   000068   000070   000060   000062   000063  
1108447 990 02 08 080 000063   000071   000073   000079   000074   000087   000081   000078   000076   000079   000082   000085   000092   000086   000079   000076   000079   000082   000084   000086   000089   000093   000091   000089  
1108447 990 02 09 080 000093   000095   000096   000096   000096   000097   000095   000096   000096   000093   000093   000093   000093   000096   000097   000094   000094   000094   000093   000095   000095   000096   000095   000095  
1108447 990 02 10 080 000095   000096   000093   000095   000093   000093   000093   000092   000092   000090   000090   000089   000086   000078   000078   000073   000077   000079   000085   000090   000092   000090   000090   000085  
1108447 990 02 11 080 000086   000091   000096   000093   000087   000073   000074   000074   000079   000073   000071   000059   000058   000061   000057   000055   000054   000061   000049   000055   000055   000058   000050   000055  
1108447 990 02 12 080 000063   000065   000067   000059   000090   000079   000071   000064   000061   000065   000059   000056   000057   000055   000056   000052   000058   000059   000054   000050   000055   000054   000051   000051  
1108447 990 02 13 080 000046   000047   000042   000044   000040   000042   000050   000047   000043   000042   000040   000039   000035   000037   000040   000037   000038   000041   000044   000043   000050   000053   000058   000059  
1108447 990 02 14 080 000054   000060   000064   000066   000067   000067   000064   000068   000068   000065   000069   000070   000076   000077   000086   000089   000092   000091   000090   000090   000083   000085   000085   000084  
1108447 990 02 15 080 000085   000089   000087   000091   000089   000090   000093   000091   000091   000096   000095   000094   000094   000093   000095   000094   000095   000096   000097   000096   000096   000096   000094   000094  
1108447 990 02 16 080 000088   000088   000084   000083   000084   000080   000079   000079   000081   000070   000072   000072   000058   000052   000059   000056   000059   000058   000059   000060   000066   000061   000061   000062  
1108447 990 02 17 080 000061   000062   000066   000063   000067   000065   000067   000063   000060   000062   000058   000054   000055   000057   000059   000060   000062   000064   000067   000071   000078   000077   000086   000078  
